name,H1S1V1,H1S2V1,H1S3V1,H2S1V1,H2S2V1,H2S3V1,H3S1V1,H3S2V1,H3S3V1,H1S1V2,H1S2V2,H1S3V2,H2S1V2,H2S2V2,H2S3V2,H3S1V2,H3S2V2,H3S3V2,H1S1V3,H1S2V3,H1S3V3,H2S1V3,H2S2V3,H2S3V3,H3S1V3,H3S2V3,H3S3V3
IMG_0192,589241,293955,142826,664966,128622,79639,167294,24021,3523,189219,86947,119593,106557,175073,13446181,7242,1007,4417,382994,386669,208827,96759,88238,420470,4189,48378,49057
IMG_0176,643914,218281,149745,918183,101019,81780,203137,7367,2841,183914,126435,127276,106778,171352,13017426,6173,767,3142,403392,416436,250062,107847,112488,451949,3968,55758,44474
IMG_0004,484735,406192,220738,871718,444885,131071,251035,177852,21002,198118,130857,185211,117195,230581,6563190,7346,1337,9818,518682,466568,311291,151534,165014,5699191,4883,63076,82784
IMG_0127,716979,554853,226081,597166,131903,85763,190958,51319,5882,167664,124047,170354,92233,197846,12141784,10127,1231,6035,503421,413465,274172,131424,121626,867098,5458,61516,65499
IMG_0011,397713,388001,205086,420657,244454,99823,90666,95704,19212,180410,75087,120103,74693,136381,6956675,9097,725,8043,422651,253666,186161,112750,133118,7194170,2810,31809,56239
IMG_0107,649051,404296,223073,802371,173589,107788,251438,46070,5280,193767,106831,149131,115207,210232,11806038,10151,1528,5637,566294,358577,268051,145655,131689,1054101,5654,61361,63044
8819,286382,140030,952109,72916,263002,285559,34972,191873,320369,197267,33260,279281,14064,106208,12003352,777,822,4055,242917,499886,486734,38450,96792,272111,226,1,90831
8800,669885,447391,44366,638077,77779,24691,328689,53259,7109,114672,80816,216840,70884,107910,899080,15887,1571,3313,449123,432652,396691,138010,195802,12323485,573,76881,100468
IMG_0145,265795,403819,293335,402218,480542,152094,113285,222958,51706,155294,94581,140467,132956,241352,13026083,13404,566,8757,474438,416929,240791,96880,103085,264136,7170,16450,96813
IMG_0191,788872,386530,147093,776394,129193,78982,234653,21023,3193,193530,143972,143736,104852,143818,4876146,9701,975,3842,539807,413530,256504,138406,195089,8058472,7196,60243,60152
IMG_0075,485768,447299,241035,502400,274786,98547,139839,136734,21518,179547,87224,159344,80539,200774,9663250,5017,827,9812,413527,313201,243099,94371,112603,3889347,1991,48912,64593
IMG_0039,527225,289325,132495,690418,169691,97853,126110,37292,4723,173380,78365,118659,86605,139911,7806192,6274,1084,4625,502560,325422,198310,113781,140969,6046882,3059,46844,47850
IMG_0114,434360,524978,311872,501893,277950,119884,154170,134074,20902,170032,95762,144027,123689,238290,12756174,12495,1084,7849,467464,421171,246157,108899,92727,428603,6853,31212,83333
8830,185389,205220,918120,80826,332100,219508,41388,250942,293788,196089,18376,270786,20508,100445,11747599,830,894,4033,314657,675522,523127,38164,109723,274839,253,3,91117
IMG_0186,537738,313981,146814,844941,151559,83906,280412,38323,4393,162511,111836,134396,125875,203380,11003968,12448,818,4425,510344,394511,242061,140137,138836,2203992,9000,57234,58065
8829,243894,164182,970049,40482,270670,252942,35741,225988,336761,201483,23512,265122,21248,105029,11747609,964,854,4061,249904,699155,548443,38121,103265,273506,261,0,91000
IMG_0020,573241,270465,133195,656285,116332,82226,147906,20231,3021,174780,79937,118102,99677,188863,12871861,5726,865,4069,449042,324440,196549,95905,83092,1124684,2929,46151,46330
IMG_0102,574566,200430,114566,692955,81555,217686,66043,3970,1906,184876,77578,103783,89074,127258,14042302,5353,895,2928,421927,271122,209862,58818,113590,192382,2871,42832,14776
8805,71258,484103,434598,256762,501808,91912,130039,356178,106002,111069,22862,328940,18463,45822,11772561,1070,1288,3925,364987,539132,464115,95429,186297,379677,321,102,145526
IMG_0150,484404,545184,468502,429113,396370,179856,112327,174987,41790,292494,170153,202934,108358,201462,12566694,7865,512,11605,291372,414798,271106,78503,93201,246891,2162,11307,111954
8863,137645,566129,604562,157139,350562,88380,107372,326676,101851,160826,30611,308428,78823,87486,11565562,3078,1088,3749,354989,540638,640120,44398,183992,353496,247,50,116349
IMG_0040,559886,278171,129420,566577,137261,84818,47001,16966,3114,172411,66370,107340,75581,140163,8396788,3918,1058,4295,386725,319489,174503,63742,119828,5977241,1514,40555,41169
8861_3,41560,13168,7417,1187351,30036,7594,12017,1974,864,22277,67559,59293,93600,68539,82127,7831,1981,2470,168031,312337,191405,180125,131756,15126752,436,48000,49404
IMG_0027,603265,436964,207282,821496,213795,97845,201389,65997,7236,209104,128523,171447,112416,202080,7632359,7576,1668,8010,470016,414748,271999,139741,145240,5213386,3547,63248,65527
8852,90681,211344,653107,151542,554200,195854,52876,308835,244301,144804,17655,289888,23721,57853,11946343,1159,1158,4020,368059,509499,475965,41980,158142,315986,333,8,94933
8861_5,38507,14648,9604,1200601,47845,9835,13741,2516,1300,19897,79152,58173,85055,67769,147115,7174,1651,3226,150829,283411,223840,180674,143949,15026001,429,48506,50456
IMG_0133,429147,454096,251199,487358,270665,115163,178461,128335,17958,168448,88884,143855,74301,177181,13437639,6302,880,7768,362146,357547,231912,93473,66167,257386,2982,45851,60800
IMG_0065,568263,462031,231759,590281,157494,76119,111284,51604,7689,168120,92940,150158,102389,208099,10570408,6419,1080,7059,405299,452686,240030,105918,110504,2926208,2511,52546,57006
IMG_0046,713300,318126,162939,473173,113383,115918,36941,13684,2837,195926,72250,108802,94246,199485,13697851,4338,924,6435,370499,334622,179793,52182,92631,470927,1501,41447,41744
8846,160682,251100,866616,77035,368576,187842,45753,293108,253274,246642,33323,271594,98722,140710,11575921,2186,1045,3852,364694,640288,487376,38383,129496,284248,301,1,91478
8840_1,109433,552409,496681,200259,402736,86190,151635,340823,93874,114484,20783,343854,22014,46112,11726414,906,1177,3724,366023,594323,503257,69538,191158,344396,262,70,131711
IMG_0018,679412,196869,108231,839086,93464,64831,135415,6878,2038,149071,100805,119008,113565,155398,7412661,4962,1010,3914,543546,367037,236435,137280,193791,6149880,3710,53621,43986
