make,model,x_resolution,y_resolution,resolution_unit,software,datetime,_exif_ifd_pointer,compression,jpeg_interchange_format,jpeg_interchange_format_length,exposure_time,f_number,exposure_program,photographic_sensitivity,exif_version,datetime_original,datetime_digitized,shutter_speed_value,aperture_value,exposure_bias_value,subject_distance,metering_mode,focal_length,pixel_x_dimension,pixel_y_dimension,focal_plane_resolution_unit,exposure_mode,white_balance,spikelets_num,name
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:22 11:29:52,196,6,912,2041,0.00625,14.0,1,100,0220,2019:01:22 11:29:52,2019:01:22 11:29:52,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,24,IMG_0005
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:19 12:38:20,196,6,912,1919,0.008,9.0,1,100,0220,2018:04:19 12:38:20,2018:04:19 12:38:20,7.0,6.375,0.0,0.0,5,95.0,5184,3456,2,1,0,30,IMG_0610
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:22 11:04:48,196,6,912,2107,0.00625,14.0,1,100,0220,2019:01:22 11:04:48,2019:01:22 11:04:48,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,29,IMG_9895
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:23 09:42:19,196,6,912,1865,0.008,9.0,1,100,0220,2018:04:23 09:42:19,2018:04:23 09:42:19,7.0,6.375,0.0,0.0,5,50.0,3456,5184,2,1,0,18,IMG_0884
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:22 09:55:54,196,6,912,2391,0.00625,14.0,1,100,0220,2019:01:22 09:55:54,2019:01:22 09:55:54,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,30,IMG_9601
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2017:06:21 09:52:57,196,6,912,1997,0.00625,10.0,1,100,0220,2017:06:21 09:52:57,2017:06:21 09:52:57,7.375,6.625,0.0,0.0,5,112.0,5037,3358,2,1,0,19,8804
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:22 10:48:16,196,6,912,2041,0.00625,14.0,1,100,0220,2019:01:22 10:48:16,2019:01:22 10:48:16,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,26,IMG_9834
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:23 09:14:02,196,6,912,2242,0.00625,14.0,1,100,0220,2019:01:23 09:14:02,2019:01:23 09:14:02,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,27,IMG_0107
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:23 10:13:12,196,6,912,1805,0.008,9.0,1,100,0220,2018:04:23 10:13:12,2018:04:23 10:13:12,7.0,6.375,0.0,0.0,5,50.0,3456,5184,2,1,0,22,IMG_1002
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:20 09:57:35,196,6,912,1696,0.008,9.0,1,100,0220,2018:04:20 09:57:35,2018:04:20 09:57:35,7.0,6.375,0.0,0.0,5,50.0,3456,5184,2,1,0,17,IMG_0683
