name,spikelets_num,H1S1V1,H1S2V1,H1S3V1,H2S1V1,H2S2V1,H2S3V1,H3S1V1,H3S2V1,H3S3V1,H1S1V2,H1S2V2,H1S3V2,H2S1V2,H2S2V2,H2S3V2,H3S1V2,H3S2V2,H3S3V2,H1S1V3,H1S2V3,H1S3V3,H2S1V3,H2S2V3,H2S3V3,H3S1V3,H3S2V3,H3S3V3,ratio,bbox_width,bbox_height,spike_perimeter
Spike_58,11,584685,7504,468843,891,583,3,12231,8346,6,1680510,65974,104751,41,876,17956,19406,12978,17867,4276,169012,179732,2,0,0,0,1,18502,0.0860456666089204,31.664805312082706,64.19006729025462,163.42423628307415
Spike_441,7,18736,49338,414366,158,264,0,57,18951,13,1245316,895768,153574,37,20024,28,19205,3022,15870,130,342489,157952,0,0,0,0,0,19678,0.0866575243181937,12.132053404547117,46.10180293727905,106.61524538862575
Spike_38,9,210422,5230,443944,411,496,0,11719,2701,0,2090547,54388,113479,198,1216,17775,21201,17973,17990,19625,181141,145903,3,0,0,0,16,18598,0.0860630895991701,19.01994280141659,60.93266743621243,142.7642589400989
Spike_575,15,19920,23448,601520,155,1298,188,822,27437,125,1824035,219568,155696,8,13367,10183,13359,9376,9730,41552,144794,234683,0,0,0,0,0,23712,0.0772532917149053,17.381990635853693,73.93140017116437,181.9630433320739
Spike_385,12,360222,8760,454866,178,608,21,5905,17871,7,1767349,88589,97274,122,839,17154,14612,5289,17114,1531,329048,169970,0,0,0,0,1,17646,0.0877922048627121,17.031687743366145,84.01714005361548,188.7323051118863
Spike_194,10,673156,16658,452834,499,697,3,7699,19564,5,1390999,131292,107892,42,819,17035,10532,6944,16293,2907,333729,167838,0,0,0,0,0,17539,0.0876049444062376,16.38212460396643,77.44277085511403,185.54888912947985
Spike_407,10,521133,15041,459327,122,753,39,6174,19842,20,1431846,225921,115049,85,697,17163,10437,6926,15993,563,320945,189372,0,0,0,0,0,17528,0.0879159473068732,50.28792185953147,71.82732894971541,217.49935121903798
Spike_644,8,5842,5323,572809,146,1025,46,232,27244,57,1709266,122009,166320,33,20876,3096,21622,1944,11466,318861,143071,219741,0,0,0,0,0,23947,0.0771630948046758,12.346095168748128,68.44366509174743,159.87316869340006
Spike_410,8,304651,7054,448834,226,612,7,7411,4257,10,1843147,81968,97875,818,869,17166,19101,17287,17283,4020,335273,149423,0,0,0,0,1,17683,0.0872109136314499,22.238782976019724,59.91389766480608,144.2705028970502
Spike_380,9,562102,17567,460026,128,726,63,5712,19891,51,1363410,246118,117643,74,664,17162,8993,8361,16492,651,320424,191123,0,0,0,0,0,17595,0.0877446368917202,40.97674542843333,65.19426521054811,194.25400065732737
Spike_622,10,9841,6814,588453,168,1164,98,382,27519,71,1762346,171921,157096,13,17346,6450,18431,4881,7929,187289,166902,216074,0,0,0,0,0,23788,0.0774015867366029,12.84866339827608,52.09126787373375,130.65286684744618
Spike_765,8,11386,5051,553353,145,915,71,164,27006,71,1842808,94945,172623,80,21495,2438,23018,685,17208,238567,147380,191548,0,0,0,0,0,24019,0.0781879910723643,11.024506741203366,61.76851294716779,143.5881663008958
Spike_6,10,651789,10681,454340,1031,621,0,13183,10073,5,1601386,89446,117119,50,1108,17875,21382,10654,17923,15668,159867,162144,1,0,0,0,11,18619,0.086031596559281,16.43203494282267,63.491318260749374,154.45406390973895
Spike_232,20,677197,8682,454585,418,689,6,15605,19404,24,1436079,80634,102190,111,914,17036,11172,6855,16580,5211,312122,191878,0,0,0,0,0,17584,0.0874262814884694,36.2819068177148,83.22981997702287,257.2040681600144
Spike_814,9,5082,4373,592792,103,864,73,183,26979,24,1627571,111129,170682,41,22057,2007,23236,459,16999,266963,250684,228692,0,0,0,0,0,23983,0.0756176918700314,17.467686821977253,67.07289268871784,168.98712713293313
Spike_436,9,255428,12986,465660,137,713,0,918,21986,18,1700377,235657,114653,5,2920,16963,17613,1648,17352,113,319936,170359,0,0,0,0,0,19534,0.0863636329811862,17.445453862199614,55.27272510795917,130.6588043516829
Spike_128,12,905295,31709,472909,516,818,46,5422,20237,25,1234054,129534,102960,159,711,17706,9263,8725,16848,2107,201112,196717,0,0,0,0,0,18103,0.08617932731167,17.58058277158068,95.83141197057704,225.45301531653212
Spike_214,11,806444,19633,457019,566,790,14,11544,19756,32,1263819,83627,98530,154,794,17106,7967,9656,16396,1725,343777,198084,0,0,0,0,0,17543,0.0872269251533948,20.672781261354565,99.35146774971668,232.08208547716848
Spike_76,10,656597,9976,464082,637,601,6,4467,11069,5,1600525,75957,102184,111,929,17699,17845,10143,17724,2062,197451,166614,0,0,0,0,2,18290,0.0866456654781758,20.361731387371314,72.3491306742768,171.18457758141716
Spike_208,9,509126,6401,448022,672,630,5,13707,8827,6,1670854,49180,99388,268,959,17070,15497,14794,16890,18452,308600,157974,3,0,0,0,0,17651,0.0870499833251952,16.71359679843748,59.36808862778313,138.5926859446994
Spike_438,8,77061,21785,436137,166,440,0,162,20436,6,1604280,482805,142079,41,17650,2314,19284,1537,17831,154,337692,173543,0,0,0,0,0,19573,0.0864917535721555,12.022353746529614,54.57629650403012,130.35529036796422
Spike_712,11,10126,5980,590431,116,1047,72,227,27152,56,1538777,246199,166962,29,21191,2706,20966,2598,10998,297007,163997,244465,0,0,0,0,0,23874,0.0764928520167251,15.375063255361743,72.20925230378849,169.39634492598518
Spike_104,12,401075,8766,462579,385,628,7,4381,6256,7,1822935,82360,108498,44,928,17688,17764,14685,17661,1726,198384,189948,0,0,0,0,2,18269,0.0857623507225353,22.555498240026782,96.2253575106846,221.8814073525032
Spike_8,11,932453,71183,475946,117,691,4,7162,20754,28,881327,400595,118869,3,1072,17746,13348,4850,17135,2041,195173,196034,0,0,0,0,0,18445,0.0859989787525161,17.285794729255734,72.32514113086603,186.64739827522024
Spike_16,10,1040317,81247,481586,289,758,29,7731,20660,59,792535,321778,137767,2,733,17928,7671,10305,15548,468,205815,213405,0,0,0,0,0,18345,0.0858579393582636,16.055434659995292,76.92871366500418,196.41273991035084
Spike_431,7,27221,41062,405564,108,330,0,27,11315,21,1308308,831072,153008,58,19984,42,19178,10761,16946,179,333635,176472,0,0,0,0,0,19685,0.0861881014806364,13.962472439863095,48.179148727675745,117.68999475953983
Spike_427,10,85276,18893,449051,152,530,0,291,21671,12,1528683,486765,137356,11,14423,5528,19187,339,16716,162,372255,198114,0,0,0,0,0,19561,0.0868592991901402,25.276056064330795,71.65892183186565,197.920705953987
Spike_446,9,10094,134088,446035,95,370,0,70,21676,17,845526,1183834,139612,26,19699,251,15652,3812,12123,36,307403,215079,0,0,0,0,0,19478,0.0862933667313406,16.654619779148735,79.30360402610201,187.5650877985649
Spike_220,9,471332,7717,446264,302,604,2,5953,9617,6,1692274,75128,104536,33,1161,16859,16977,11469,16646,8573,314532,157407,0,0,0,0,0,17584,0.0870443089487816,15.058665448139216,66.85002927266427,152.3469020393451
Spike_134,11,1058691,89577,476092,847,872,73,13423,20368,69,883110,249355,134543,0,548,17720,3137,14135,16220,667,160022,217446,0,0,0,0,0,18061,0.0863317151526597,36.518315509575054,88.92166660723949,264.97809310042953
Spike_370,9,644066,11188,457503,211,753,32,11433,20010,38,1495498,109723,98388,584,617,17292,8020,9642,17031,914,287657,166765,0,0,0,0,0,17611,0.0860893137171701,15.582165782807788,72.48720214985723,177.11789806377516
Spike_616,9,4941,4328,578561,156,972,68,188,27190,53,1574351,158818,164097,39,21281,2644,22241,1393,11938,330763,231317,215704,0,0,0,0,0,23933,0.0775435312006009,14.423096803311767,68.0832203941276,163.2199344522297
Spike_477,8,72558,54784,443143,170,563,0,211,21904,12,1474121,619089,117265,13,15471,4390,18531,811,16033,85,302331,194034,0,0,0,0,0,19457,0.0874668927117243,14.69443797556968,76.53353112275876,178.8915664957543
Spike_404,9,450968,9131,455429,192,751,40,9463,19481,12,1707570,75619,96004,696,681,17268,12264,6042,17047,1098,319206,158400,0,0,0,0,0,17614,0.0878245360420733,15.808416487573194,75.35345192409889,174.01626332101912
Spike_30,21,520022,7450,470040,333,617,0,12065,10871,12,1722972,75304,112636,47,925,17958,17968,10976,17814,2020,171428,184993,0,0,0,0,2,18523,0.0857350917080042,36.95182452614981,81.44833712260399,247.67172917448713
Spike_200,11,716023,9149,451804,3034,985,15,26129,18568,25,1441350,45034,94859,1629,812,17147,11416,9239,16622,11008,309263,173259,3,0,0,0,0,17603,0.0873444511292108,18.34233473713427,84.0253619863008,193.21117412960442
Spike_506,10,185656,124491,446856,135,816,1,491,22051,11,1155522,674430,140937,3,4854,14862,14815,4138,10918,30,317956,236608,0,0,0,0,0,19395,0.0876373144264041,47.84997367681664,76.24446355097157,255.61894823167665
Spike_66,9,537725,8569,450688,1424,606,1,7309,5778,8,1731523,68271,109832,97,990,17704,19020,14983,17687,4153,204800,155493,0,0,0,0,0,18315,0.0860419510736318,17.638599970094518,67.80105744602186,156.37780608371307
Spike_346,10,336564,4502,435254,918,491,2,10747,2770,10,1676964,114465,114404,227,990,17075,19828,17091,17093,11037,406971,169856,0,0,0,0,4,17713,0.0870544081852551,30.817260497580307,67.2930575272022,172.9477820013814
Spike_72,6,608585,9838,471760,544,659,15,11045,20079,32,1621177,114715,100538,87,777,17755,13233,5417,17414,1420,186159,155442,0,0,0,0,0,18285,0.0865185604870086,32.44446018262822,50.09424652197798,148.9277987820472
Spike_418,8,491503,8790,457066,252,768,52,7947,19506,14,1669453,75209,94849,979,652,17294,12304,6075,17213,1432,313845,162148,1,1,0,0,0,17623,0.087843853062535,13.352265665505321,69.22095621327759,162.94875558076512
Spike_92,9,726039,15034,469899,375,787,18,8851,20384,18,1438911,136309,102872,44,824,17640,10026,8297,16531,1182,205267,177539,0,0,0,0,0,18129,0.0858473282382773,15.8817557240813,69.62218320124289,172.7924728356011
Spike_444,6,10915,36637,360390,118,193,0,12,4088,34,1246858,910689,193082,65,20066,8,19274,17879,15696,181,341301,177885,0,0,0,0,0,19605,0.0865499770394129,14.107646257424303,44.14048829010058,108.33843958917035
Spike_782,9,23654,8817,552615,221,1034,86,378,26962,50,1756258,187267,152438,9,18065,5762,20620,2768,9250,149062,173257,262546,0,0,0,0,0,23857,0.0786662934353598,12.665273243092928,72.37298996053102,172.30107875756116
Spike_64,10,650730,9014,470203,790,576,3,3364,12971,6,1616543,77698,101044,46,996,17904,18459,8448,17923,2609,183332,163828,0,0,0,0,3,18486,0.0860479426119987,23.92132804613564,67.28949112258299,159.01250560115784
Spike_52,12,534595,7368,465650,1219,662,7,12831,7340,2,1708801,74401,107899,67,931,17922,19116,13833,17930,5102,188340,172362,0,0,0,0,1,18597,0.0855355574753544,14.883187000711667,73.56057942880479,168.16682404259498
Spike_341,9,683038,26298,459937,284,671,10,7784,19818,33,1250740,211147,121687,11,823,17043,10425,6870,15459,904,335684,188768,0,0,0,0,0,17542,0.0872205388367536,22.851781175229444,81.90008596771163,203.25964842062535
Spike_2,9,862090,29381,465182,282,640,1,10451,20472,14,1274171,174326,109801,3,1015,17865,17423,1161,17811,1757,180084,172475,0,0,0,0,7,18564,0.0861714888317639,14.39063863490457,79.7086271693816,192.00898890881788
Spike_725,12,817,2675,563044,100,769,16,98,23003,15,1403741,61522,172321,89,23683,478,23467,4428,18199,599843,194695,257828,0,0,0,0,0,24145,0.0768086452451265,29.033667902657815,74.5043858877727,212.11017042403338
Spike_392,9,289718,5989,449255,133,639,4,6751,4127,9,1924955,53942,98254,537,927,17124,18463,16528,17184,5321,295131,152335,1,0,0,0,1,17648,0.0878128828293522,13.610996838549593,64.80590752806192,149.71294992725075
Spike_529,11,4364,4225,586281,135,938,94,208,27230,56,1523929,132663,175638,32,20377,3612,22639,980,14705,311563,269817,251416,0,0,0,0,0,24074,0.0766584703666594,20.62112852863138,62.170019467360774,161.90993950252115
Spike_116,9,443242,8081,456263,353,614,6,5236,3794,1,1828761,73054,111617,321,1056,17623,18208,17575,17506,27849,168263,157287,0,0,0,0,2,18264,0.0862738371304971,15.52929068348948,66.51712842761327,150.9984049802975
Spike_118,14,641672,10643,469555,678,737,15,14638,20022,25,1610342,105291,105016,257,842,17696,13041,6053,16985,4073,166842,152334,0,0,0,0,0,18219,0.0864099297382467,28.860916532574397,37.58831943613731,180.480360131028
Spike_625,7,14904,9994,592794,195,1268,91,444,27633,85,1819330,224334,148602,12,16600,7098,16138,6972,8793,107042,154964,193900,0,0,0,0,0,23783,0.0770819934572863,12.564364933537666,45.5554581332562,110.1308474845601
Spike_672,10,11540,11861,590874,149,1306,99,412,27372,85,1557006,317091,159837,7,15991,7646,15755,7421,7393,127405,190678,301315,0,0,0,0,0,23733,0.0779450789111684,13.17271833598746,83.08945411930551,220.83377696016632
Spike_50,9,378141,6069,450244,493,486,1,6951,3040,2,1931678,57164,111889,124,1126,17847,19695,17583,17882,13846,175586,146555,2,0,0,0,22,18550,0.0857630405794979,11.406484397073221,63.20736090708996,142.6175872684313
Spike_498,7,10336,25598,346141,111,251,0,14,6505,19,1273687,959256,184691,102,19992,5,19221,15498,15095,198,306817,171795,0,0,0,0,0,19644,0.0875521993542078,10.33115952379652,36.68437152941307,87.12769057450139
Spike_204,12,661482,9460,454090,1020,763,19,9282,16019,9,1494503,56612,96995,582,871,17098,12766,9843,16836,13447,323340,162334,5,0,0,0,0,17600,0.0870622014271297,15.758258458310475,88.36813444853665,209.02001220603896
Spike_100,11,882568,65306,473420,655,852,83,8298,20429,54,1084826,231263,134599,7,583,17746,4816,12919,15357,455,177040,225708,0,0,0,0,0,17992,0.0857650642559616,18.18219362226386,75.47325654524622,181.7352293651007
Spike_512,9,192606,10921,438555,145,707,6,712,21943,9,1907982,127198,107200,5,1914,18002,18289,1038,17912,170,317627,172447,0,0,0,0,0,19588,0.0877645912339906,13.691276232502533,59.50439285664562,137.7673393209707
Spike_463,12,132668,53253,447441,148,789,0,455,22021,13,1376054,545979,148662,4,7556,12194,17965,1190,15456,46,344907,228750,0,0,0,0,0,19425,0.0880005387322728,33.35220417953139,84.65651826044643,233.42212538749092
Spike_198,12,930531,52014,456446,2064,907,75,20315,19881,65,970999,141913,138926,425,509,17233,2194,15087,16459,526,318213,252715,0,0,0,0,0,17479,0.0868924277936585,27.979361749558034,95.14720843405605,248.03811967654522
Spike_716,11,2243,4047,583820,133,912,79,273,27077,36,1528712,191116,166524,38,20255,3726,21611,1969,12152,247573,267849,270879,0,0,0,0,0,23952,0.0770517588762662,14.79393770424311,77.43701767064752,188.88266256125658
Spike_20,9,782475,11315,472553,515,778,6,13064,20253,7,1449688,105139,100750,3,910,17935,15033,3953,17534,10832,171717,162014,3,0,0,0,2,18497,0.0857476837048517,13.205143290547161,57.45094808225063,135.88414924788947
Spike_764,8,11983,6364,551198,176,881,35,248,26895,45,1785172,94757,178479,55,22103,1908,23037,691,17270,262997,157656,209018,0,0,0,0,0,24008,0.0780038038530407,12.480608616486514,69.81340444847143,172.60476784179193
Spike_400,18,493156,29321,459583,145,737,40,4078,19892,23,1355781,253274,140051,63,647,17216,10540,6807,16960,502,326346,222274,0,0,0,0,0,17540,0.0879853886080994,29.6510759609295,94.14436581066636,305.06734885691407
Spike_70,10,796641,13978,472334,832,661,31,6410,20199,16,1378044,137120,106010,22,800,17754,14098,4379,17638,1128,199226,169429,0,0,0,0,0,18226,0.0863135190643607,28.22452073404595,66.02984208423594,178.52669642422492
Spike_182,11,331196,124656,447698,111,515,1,413,19511,5,1196211,548397,109320,9,5342,12458,17020,436,16306,134,337894,189794,0,0,0,0,0,17549,0.0872870833642823,28.193727926663183,99.59456211864611,245.79150094372375
Spike_14,11,991123,46813,482346,333,758,32,17915,20582,37,869792,287184,139084,0,734,17975,10764,7262,15883,546,216067,231406,0,0,0,0,0,18340,0.0863579039412755,50.69208961352872,81.7809350323879,283.73037373061925
Spike_86,9,971307,54107,472818,525,892,40,8621,20524,31,1050747,220004,122239,10,663,17690,4244,13531,16071,397,198493,183964,0,0,0,0,0,18058,0.086124083654373,34.19126121078608,59.339493637863,170.14072914121243
Spike_239,18,661528,6816,455642,1221,667,17,21826,18119,21,1467402,53974,98766,464,706,17242,12582,7627,17086,2111,342264,171258,0,0,0,0,0,17637,0.0876958185099377,38.410768507352714,67.61347607116197,257.2030511876245
Spike_791,6,4291,4334,592590,154,854,55,183,27028,29,1781438,102864,170945,58,22572,1393,22764,856,14812,254349,144931,204543,0,0,0,0,0,23933,0.0759074795429174,12.145196726866786,45.54448772575044,107.62317379575428
Spike_108,10,869733,20817,472397,435,831,56,6920,20292,40,1320174,122524,96622,153,704,17728,8745,9281,16682,1503,193929,177298,0,0,0,0,0,18112,0.086132188727126,15.2453974047013,77.00217672205063,179.36911961549458
Spike_236,11,408920,4948,437408,811,512,0,10738,2866,8,1710709,41486,114067,295,1031,17059,20824,17082,17192,9599,370044,171656,0,0,0,0,5,17716,0.0877680908053283,29.84115087381162,83.02861390184057,203.3230446863036
