Name,Masked,Real,Diff
IMG_9924,14,24,10
IMG_9749,15,25,10
6446_3,13,23,10
IMG_9727,20,30,10
IMG_0199,19,29,10
IMG_0024,18,28,10
IMG_9921,14,24,10
IMG_9935,14,24,10
8759_2,10,20,10
8759_4,10,20,10
IMG_0610,20,30,10
6446_4,3,13,10
IMG_0130,18,28,10
IMG_0131,19,29,10
IMG_9700,23,33,10
IMG_0124,21,31,10
IMG_9587,17,27,10
IMG_0450,11,21,10
6449_2,5,15,10
IMG_1107,11,21,10
IMG_0140,19,29,10
6678_4_{X-18},10,20,10
IMG_0523,11,21,10
6418_2_{X-18},9,19,10
IMG_9992,17,27,10
IMG_0014,14,24,10
IMG_0127,19,28,9
6441_2,2,11,9
IMG_0341,14,23,9
IMG_0647,14,23,9
IMG_0754,15,24,9
IMG_9661,19,28,9
IMG_9871,19,28,9
IMG_9684,18,27,9
IMG_9970,18,27,9
IMG_0203,16,25,9
IMG_0195,19,28,9
IMG_9971,18,27,9
IMG_9771,16,25,9
IMG_9845,18,27,9
IMG_0417,13,22,9
IMG_9650,19,28,9
IMG_9943,18,27,9
IMG_0393,12,21,9
IMG_1101,13,22,9
6449_4,5,14,9
IMG_0017,21,30,9
IMG_0318,14,23,9
IMG_0309,10,19,9
IMG_0117,16,25,9
IMG_9902,13,22,9
IMG_9784,15,24,9
IMG_0522,12,21,9
IMG_0305,14,23,9
IMG_9718,19,28,9
8848,15,24,9
IMG_1102,13,22,9
IMG_0165,19,28,9
IMG_0319,14,23,9
IMG_9603,20,29,9
8819,21,30,9
IMG_9617,15,24,9
IMG_9720,17,26,9
IMG_9726,18,27,9
IMG_9596,19,28,9
IMG_0686,13,22,9
IMG_9874,23,32,9
IMG_9671,18,27,9
IMG_9801,17,26,9
IMG_0107,18,27,9
IMG_9834,18,26,8
IMG_0194,20,28,8
IMG_0957,4,12,8
IMG_0576,13,21,8
IMG_9675,26,34,8
6446,14,22,8
IMG_0115,19,27,8
IMG_0518,6,14,8
IMG_9690,18,26,8
IMG_0503,14,22,8
IMG_0209,22,30,8
IMG_0075,14,22,8
IMG_0590,14,22,8
IMG_9980,18,26,8
IMG_0356,13,21,8
IMG_0931,16,24,8
IMG_9756,21,29,8
IMG_9577,19,27,8
IMG_0166,21,29,8
IMG_9860,24,32,8
IMG_1122,12,20,8
IMG_9772,17,25,8
6678_3_{X-18},3,11,8
IMG_9922,16,24,8
IMG_0475,16,24,8
IMG_0092,22,30,8
IMG_9940,17,25,8
IMG_0646,15,23,8
